,job_no,roles,companies,locations,experience,salaries,skills
323,324,senior data scientist,prismforce,"kolkata, mumbai, pune, bengaluru",5-9 yrs,not disclosed,"product management,it services,supply chain,erp,automation,analytical,machine learning,forecasting"
324,325,"senior associate, data scientist",bny mellon,pune,2-3 yrs,not disclosed,"data science,banking,programming,manager technology,management,analytics,financial services,science"
325,326,data scientist,bmc software,pune,8-10 yrs,not disclosed,"data science,r,pytorch,scikit-learn,data mining,tableau,statistical analysis,machine learning"
326,327,sr data scientist,bmc software,pune,3-8 yrs,not disclosed,"python,tensorflow,data analysis,data manipulation,data mining,pytorch,machine learning,sql"
327,328,"associate, data scientist ii",bny mellon,pune,3-5 yrs,not disclosed,"unix,spring boot,bloomberg,coding,spark,diversity and inclusion,shell scripting,scala"
328,329,data scientist,hilti,pune,2-5 yrs,not disclosed,"computer science,data analysis,version control,social media,machine learning,agile,data quality,forecasting"
329,330,xoriant_gen ai_5 to 12 years_pune !,xoriant,hybrid - pune,5-10 yrs,not disclosed,"genai,generative ai,prompt engineer,llm,machine learning,tensorflow,pytorch,gen ai"
330,331,senior data scientist,wolters kluwer - medknow publications,"kalyani, pune",6-8 yrs,not disclosed,"computer science,linux,production support,coding,shell scripting,machine learning,data structures,analytics"
331,332,data scientist,mega hr consultant,mumbai (all areas),0-2 yrs,not disclosed,"natural language processing,dl,ml,processing,languages,process,data"
332,333,data scientist - phd only,anurag electronic gujarat,mumbai,0-2 yrs,12-15 lacs pa,"natural language processing,phd,deep learning,data science,science,processing,languages,process"
333,334,sr applied data scientist -retail - bangalore,client of firm,bengaluru,3-8 yrs,18-22.5 lacs pa,"data science,python,sql,pricing analysis,regression,data scientist,forecasting,modeling"
334,335,data scientist,shriram city (scuf),bengaluru,3-8 yrs,not disclosed,"artificial intelligence,natural language processing,machine learning,sql,generative ai,deep learning,process,processing"
335,336,data scientist,dotdash meredith,bengaluru,5-9 yrs,not disclosed,"data science,gcp,machine learning,programming,mathematics,scientist 1,predictive analytics,statistics"
336,337,data scientist,myntra,bengaluru,2-4 yrs,not disclosed,"nosql,machine learning,performance testing,scm,troubleshooting,forecasting,monitoring,sql"
337,338,data scientist / lead data scientist,hiring for client and industry is it services & consulting,"chennai, delhi / ncr, bengaluru",3-8 yrs,not disclosed,"data science,jupyter notebooks,big query,ml platforms google cloud,machine learning,python,ml,sql"
338,339,data scientist - weekend virtual drive - 4th may,ltimindtree,"hybrid - pune, chennai, bengaluru",6-11 yrs,not disclosed,"data science,natural language processing,machine learning,deep learning,python,statistical modeling,processing,data"
339,340,principal data scientist(computer vision),oceaneering international,"hybrid - chandigarh, pune",7-12 yrs,not disclosed,"pytorch,algorithm development,image processing,computer vision,tensorflow,object detection,opencv,azure machine learning"
340,341,data scientist- statistics,course5 intelligence,"hybrid - gurugram, bengaluru, mumbai (all areas)",3-7 yrs,not disclosed,"logistic regression,time series analysis,statistical modeling,python,predictive analytics,predictive,time,logistics"
341,342,leadership role - data science ( retail analytics ) : ( only females ),leading client of pylon consulting,"hybrid - kolkata, west bengal, bangalore rural, karnataka, mumbai (all areas)",8-12 yrs,not disclosed,"python,data science,cloud platforms,machine learning,retail analytics,gcp,machine learning frameworks,aws"
342,343,senior data scientist databricks,course5 intelligence,"mumbai, gurugram, coimbatore, bengaluru",7-12 yrs,not disclosed,"time series analysis,python,sas,natural language processing,data mining,glm,svm,machine learning"
343,344,data scientist llm & genai,course5 intelligence,"mumbai, gurugram, coimbatore, bengaluru",5-10 yrs,not disclosed,"microsoft azure services,algorithms,python,cloud services,github,natural language processing,microsoft azure,machine learning"
344,345,data scientist,course5 intelligence,"mumbai, gurugram, coimbatore, bengaluru",4-8 yrs,not disclosed,"computer vision,deep learning,data analysis,graphic designing,machine learning,programming,healthcare,deployment"
345,346,data scientist,course5 intelligence,"mumbai, gurugram, coimbatore, bengaluru",4-8 yrs,not disclosed,"deep learning,primary research,machine learning,healthcare,deployment,statistics,sql,python"
346,347,data scientist - gcp,course5 intelligence,"gurugram, bengaluru, mumbai (all areas)",3-8 yrs,15-25 lacs pa,"data science,gcp,natural language processing,google cloud platforms,machine learning,statistical modeling,google cloud services,process"
347,348,data scientist,superior electric machines,"mumbai, chennai, bengaluru",9-14 yrs,not disclosed,"python,hive,scenario analysis,data mining,hadoop,statistical models,data scientist,spark"
348,349,data science,course5 intelligence,"gurugram, bengaluru, mumbai (all areas)",4-7 yrs,not disclosed,"data science,machine learning,logistic regression,time series,science,machine,time,logistics"
349,350,principal data scientist | machine learning | nlp,hiring for client and industry is it services & consulting,"mumbai, chennai, bengaluru",3-8 yrs,not disclosed,"machine learning,panda,lstm,native app development,ios core image,matplot lib,numpy,llm"
350,351,senior data scientist,dhurin,"noida, mumbai, bengaluru",5-9 yrs,not disclosed,"data analysis,operations research,version control,sas,gcp,machine learning,healthcare,financial services"
351,352,data scientist - cpg/mmm,course5 intelligence,"hybrid - bangalore rural, gurugram, mumbai (all areas)",3-6 yrs,not disclosed,"marketing mix modelling,statistical modeling,mmm,machine learning,python,data science,predictive modeling,classification"
352,353,data scientist,tata industries limited-tata insights and quants divison,"mumbai, jamshedpur, bengaluru",2-7 yrs,not disclosed,"data analysis,data management,html,http,information management,data mining,econometrics,information technology"
353,354,data scientist,customerxps software,"mumbai, bengaluru",12-15 yrs,not disclosed,"machine learning,data collection,data visualization,data,collections,machine"
354,355,data scientist,golden opportunities,mumbai,6-9 yrs,not disclosed,"data science,cloud computing,pyspark,machine learning,forecasting,python,data,cloud"
355,356,data scientist,rpg communications holdings,mumbai,5-7 yrs,not disclosed,"unix,data analysis,linux,dms,apache,big data,aws,unix shell scripting"
356,357,data scientist,netcore cloud,"mumbai, bengaluru",3-7 yrs,not disclosed,"c++,product engineering,nosql,business analytics,artificial intelligence,mysql,machine learning,mongodb"
357,358,data scientist req:1714,clairvoyant india,"hybrid - gurugram, bengaluru",3-6 yrs,not disclosed,"numpy,pandas,python,nlp,machine learning,scikit-learn,machine,natural language processing"
358,359,data scientist,vantageiq technologies opc,"bangalore rural, chennai",2-6 yrs,not disclosed,"credit risk,credit risk modelling,aws,python,data,credit,modeling,risk modeling"
359,360,snowflake architecture,jobworld,bengaluru,14-16 yrs,35-40 lacs pa,"aws data lake,architecture,aws cloud,snowflake,data warehousing,amazon s3,aws glue,aws data services"
360,361,data scientist,paypal,chennai,5-10 yrs,not disclosed,"analytical skills,data analysis,executive,underwriting,commerce,data analyst,credit risk,risk management"
361,362,data scientist 2,paypal,bengaluru,6-10 yrs,not disclosed,"interpersonal skills,quantitative research,analytical,underwriting,credit risk management,commerce,credit risk,risk management"
362,363,principal data scientist,gojek,gurugram,8-16 yrs,not disclosed,"career development,data analysis,due diligence,financial inclusion,project management,machine learning,financial services,recruitment"
363,364,data scientist - 4 openings,r systems international,hybrid - noida,3-7 yrs,not disclosed,"data science,data scientist,artificial intelligence,machine learning,data,science,intelligence,machine"
364,365,principal data scientist,tokopedia,gurugram,12-20 yrs,not disclosed,"career development,data analysis,due diligence,financial inclusion,project management,machine learning,financial services,recruitment"
365,366,data scientist,kla tencor,chennai,4-8 yrs,not disclosed,"supply chain,data analysis,business analytics,machine learning,predictive modeling,customer service,data mining,semiconductor manufacturing"
366,367,data scientist,photon,chennai,4-8 yrs,not disclosed,"deep learning,coding,gcp,cloud services,machine learning,programming,data structures,natural language processing"
367,368,data scientist,paypal,chennai,4-8 yrs,not disclosed,"operations research,sas,quantitative research,operational risk,analytical,credit risk,data mining,analytics"
368,369,data scientist intern(1),blubirch,bengaluru,3 months duration,unpaid,na
369,370,data scientist,data collection infotech,bengaluru,0-4 yrs,not disclosed,"logistic regression,data analysis,client servicing,trend analysis,data mining,individual contributor,sql,python"
370,371,data scientist,akaike technologies,bengaluru,0-6 yrs,not disclosed,"deep learning,data analysis,git,analytical,mysql,machine learning,data visualization,data mining"
371,372,computational epidemiology intern,artpark,bengaluru,no fixed duration,unpaid,na
372,373,data scientist trainee,wahy lab solutions,ernakulam,0-1 yrs,not disclosed,"computer science,nosql,data science,database management,analytical,programming,scientist trainee,mathematics"
373,374,product data scientist,sundial,bengaluru,0-7 yrs,not disclosed,"economics,analytical,programming,statistics,data,program,analytics"
374,375,data scientist,citriot,bengaluru,0-2 yrs,not disclosed,"computer vision,c++,image processing,memory management,neural networks,mysql,machine learning,stored procedures"
375,376,data scientist (pst hours),quinstreet software india,"hybrid - mumbai, pune, bengaluru",5-8 yrs,not disclosed,"data scientist,machine learning,python,data,machine"
376,377,data scientist - python + api,ltimindtree,"hybrid - pune, bangalore rural, chennai",6-11 yrs,not disclosed,"generative ai,data scientist,natural language processing,api,python,artificial intelligence,languages,process"
377,378,data scientist/ ml engineer -- us mnc (analytics),us mnc (analytics),"hybrid - pune, gurugram, bengaluru",5-10 yrs,20-35 lacs pa,"python,tensorflow,predictive modeling,devops ci cd,neural networks,image recognition,ml flow,machine learning"
